
-3473	-1117	1598
-5077	-1030	1741
-5411	-664	1719
-5123	-462	1595
-3461	-230	961
-126	242	596
189	-22	676
309	-209	648
754	-256	598
489	-425	581
2	-492	567
69	-387	479
208	-532	366
128	-627	160
76	-655	166
-326	-668	106
-870	-628	142
-1049	-530	285
-880	-505	257
-292	-463	93
297	-456	-38
149	-111	377
-38	76	249
-223	134	199
-267	107	218
-335	170	258
-143	162	205
-10	128	154
-13	81	96
-103	88	68
-138	88	57
-171	102	46
-72	116	33
-56	127	49
-98	187	172
102	148	153
8	33	-2
-445	132	61
-345	162	-15
-12	174	-13
49	209	8
160	247	-12
128	207	-20
-6	149	1
-91	95	12
29	17	21
90	-29	8
-16	-3	-10
-20	4	-10
1	2	-2
-8	25	-10
-26	48	-7
-29	30	12
3	31	-12
-22	42	-1
-24	36	-4
-35	8	27
-57	36	-24
-76	50	8
-19	12	-4
-40	11	-19
-50	7	-7
-23	-13	-21
-39	1	-5
-7	18	-12
-12	14	-3
-1	24	-12
-55	49	-2
-65	41	2
-13	13	11
1	23	-19
-56	43	-19
-9	11	-31
-5	14	-24
-36	13	-31
-22	13	-21
-25	12	-13
-27	18	-9
-3	11	-12
-5	8	-12
-30	10	-13
-29	9	-16
-12	7	-16
-23	9	-12
-28	5	-14
-8	-5	-17
-9	-12	-16
-31	14	-13
-166	192	122
-272	0	141
114	40	-10
-46	-22	-4
-5	-2	-3
-33	25	-2
-844	320	1408
-3052	-1814	2085
-6537	-978	3013
-5915	-34	2009
239	143	38
22	14	-35
10	-18	-29
-54	-109	-17
8	84	-39
-46	-3	-1
-15	-36	-7
-33	5	15
82	47	20
-33	-80	-42
-340	-109	-17
-847	-53	54
-1846	111	270
-580	50	155
179	-63	-28
-221	16	17
-19	-8	-6
-87	17	-11
-60	-57	39
-305	109	-32
-342	154	-44
-61	32	-12
-54	23	-9
-53	6	0
-35	-14	1
-67	-5	-1
-50	-5	-1
-15	-3	-9
-61	15	-12
-3	16	-25
-74	36	-28
-65	43	-32
-66	38	-34
-88	36	-26
-53	15	-7
-7	-26	17
-50	-27	27
-7	-28	17
-28	-10	5
-32	-5	-9
-52	16	-20
-30	21	-26
-25	21	-30
-41	28	-27
-27	24	-27
-38	26	-20
-16	7	-10
-20	2	-1
-30	0	0
-29	12	-6
-38	17	-17
-13	14	-18
-11	12	-12
-10	-1	-7
-16	3	25
18	14	43
-20	-7	-4
-16	-7	-10
-46	1	6
-44	28	-19
-34	41	-27
-17	22	-15
-28	2	3
-19	13	0
-39	19	-13
-23	8	-13
-10	-6	-9
1	1	-9
-15	24	7
0	16	-23
-34	15	-15
-20	8	-12
-24	6	-5
-22	-1	-3
-12	6	-2
-10	16	23
-6	1	-12
-11	6	-20
-11	12	-21
-27	12	-15
-6	1	-2
-11	0	-2
-25	3	11
-4	13	-22
-17	15	4
-44	9	-8
-17	7	-11
-1	9	-13
-19	10	-11
-10	7	-14
-13	13	-17
-18	13	-15
-12	-1	-13
-11	1	-8
-20	12	-11
-12	7	-14
-13	-2	-11
-12	-3	-11
-28	17	36
-18	19	-16
-27	7	-12
-6	2	-6
-1	-2	-9
-15	7	-9
-34	22	2
-9	14	-19
-6	11	-16
-40	13	-11
-5	7	-12
1	3	-12
-8	4	-9
-27	8	-9
-11	4	-14
-10	10	-16
-4	5	-14
-13	13	51
-8	7	-13
-14	11	-12
-16	8	-15
-12	8	-10
-33	13	-13
-4	7	-11
-14	12	-7
-30	12	-9
-14	11	-12
-11	11	-10
-40	6	12
-30	10	15
-4	9	-13
-3	11	-19
-13	7	-13
-13	7	-10
-18	13	-13
-12	11	-10
-11	9	-9
-8	4	-12
-28	10	-11
-14	17	-17
-1	15	5
-7	6	-13
-7	1	-12
-10	7	-9
-25	19	-12
-12	16	-12
-13	4	-13
-4	5	-11
-23	9	-13
4	5	-15
-27	5	-11
-2	-4	-3
-28	7	15
-6	15	-18
-17	21	-25
-47	8	-19
-59	19	-15
-127	0	10
-357	-82	42
-147	-32	-15
-202	-116	23
-162	-146	11
-293	-249	46
-230	-66	-23
-231	-98	-44
-249	-52	-16
-77	-159	-46
27	0	-54
16	-54	-33
-4	-92	6
61	-61	-3
87	-69	-3
161	-66	3
89	-29	27
51	-8	70
127	41	11
230	-106	41
426	-186	59
225	-61	64
102	-47	73
42	-24	26
15	-14	4
-3	1	26
12	-4	10
-22	12	13
-15	8	3
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
